Network,Nodes count,PP,Measure,Seeds count,SF,IF,Iterations count
4_2.txt,4941,0.7,degree,1235,25,81.24,10
4_2.txt,4941,0.8,degree,247,5,82.92,18
4_2.txt,4941,0.8,degree,494,10,84.62,13
4_2.txt,4941,0.8,degree,1235,25,87.67,10
4_2.txt,4941,0.9,degree,247,5,93.32,17
4_2.txt,4941,0.9,degree,494,10,93.73,14
4_2.txt,4941,0.9,degree,1235,25,94.07,10
4_2.txt,4941,0.1,closeness,247,5,6.29,3
4_2.txt,4941,0.1,closeness,494,10,11.33,3
4_2.txt,4941,0.1,closeness,1235,25,26.67,3
4_2.txt,4941,0.2,closeness,247,5,8.32,7
4_2.txt,4941,0.2,closeness,494,10,13.4,6
4_2.txt,4941,0.2,closeness,1235,25,29.81,4
4_2.txt,4941,0.3,closeness,247,5,11.01,8
4_2.txt,4941,0.3,closeness,494,10,17.71,14
4_2.txt,4941,0.3,closeness,1235,25,32.95,7
4_2.txt,4941,0.4,closeness,247,5,15.32,11
4_2.txt,4941,0.4,closeness,494,10,23.25,15
4_2.txt,4941,0.4,closeness,1235,25,37.4,9
4_2.txt,4941,0.5,closeness,247,5,26.65,22
4_2.txt,4941,0.5,closeness,494,10,33.11,15
4_2.txt,4941,0.5,closeness,1235,25,46.57,20
4_2.txt,4941,0.6,closeness,247,5,41.49,29
4_2.txt,4941,0.6,closeness,494,10,45.07,29
4_2.txt,4941,0.6,closeness,1235,25,57.62,27
4_2.txt,4941,0.7,closeness,247,5,67.54,37
4_2.txt,4941,0.7,closeness,494,10,68.67,36
4_2.txt,4941,0.7,closeness,1235,25,74.8,21
4_2.txt,4941,0.8,closeness,247,5,81.68,25
4_2.txt,4941,0.8,closeness,494,10,82.11,24
4_2.txt,4941,0.8,closeness,1235,25,84.98,18
4_2.txt,4941,0.9,closeness,247,5,93.46,21
4_2.txt,4941,0.9,closeness,494,10,93.67,20
4_2.txt,4941,0.9,closeness,1235,25,94.25,17
4_2.txt,4941,0.1,random,247,5,6.66,3
4_2.txt,4941,0.1,random,494,10,12.65,3
4_2.txt,4941,0.1,random,1235,25,30.2,3
4_2.txt,4941,0.2,random,247,5,10.18,7
4_2.txt,4941,0.2,random,494,10,18.44,7
4_2.txt,4941,0.2,random,1235,25,38.7,6
4_2.txt,4941,0.3,random,247,5,15.2,8
4_2.txt,4941,0.3,random,494,10,27.57,10
4_2.txt,4941,0.3,random,1235,25,50.07,6
4_2.txt,4941,0.4,random,247,5,24.79,17
4_2.txt,4941,0.4,random,494,10,38.19,18
4_2.txt,4941,0.4,random,1235,25,58.98,8
4_2.txt,4941,0.5,random,247,5,44.95,25
4_2.txt,4941,0.5,random,494,10,53.69,13
4_2.txt,4941,0.5,random,1235,25,70.94,9
4_2.txt,4941,0.6,random,247,5,59.91,19
4_2.txt,4941,0.6,random,494,10,66.5,12
4_2.txt,4941,0.6,random,1235,25,78.3,7
4_2.txt,4941,0.7,random,247,5,76.68,21
4_2.txt,4941,0.7,random,494,10,80.43,13
4_2.txt,4941,0.7,random,1235,25,86.54,8
4_2.txt,4941,0.8,random,247,5,85.51,14
4_2.txt,4941,0.8,random,494,10,87.86,10
4_2.txt,4941,0.8,random,1235,25,91.54,8
4_2.txt,4941,0.9,random,247,5,93.87,12
4_2.txt,4941,0.9,random,494,10,94.8,10
4_2.txt,4941,0.9,random,1235,25,96.07,8
4_3.txt,4941,0.1,degree,247,5,8.1,4
4_3.txt,4941,0.1,degree,494,10,14.31,4
4_3.txt,4941,0.1,degree,1235,25,30.82,4
