,Network filename,N,NP,NN,PP,SM,SF,SF%,M,IF%
0,./data/networks/12_5.txt,12,5,1133,0.8,betweenness,11330,10%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.8,betweenness,11330,10%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.8,betweenness,28325,25%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.8,betweenness,28325,25%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.9,betweenness,5665,5%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.9,betweenness,5665,5%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.9,betweenness,11330,10%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.9,betweenness,11330,10%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.9,betweenness,28325,25%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.9,betweenness,28325,25%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.0,degree,5665,5%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.0,degree,5665,5%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.0,degree,11330,10%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.0,degree,11330,10%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.0,degree,28325,25%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.0,degree,28325,25%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.1,degree,5665,5%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.1,degree,5665,5%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.1,degree,11330,10%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.1,degree,11330,10%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.1,degree,28325,25%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.1,degree,28325,25%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.2,degree,5665,5%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.2,degree,5665,5%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.2,degree,11330,10%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.2,degree,11330,10%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.2,degree,28325,25%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.2,degree,28325,25%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.30000000000000004,degree,5665,5%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.30000000000000004,degree,5665,5%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.30000000000000004,degree,11330,10%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.30000000000000004,degree,11330,10%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.30000000000000004,degree,28325,25%,IndependentCascadesModel,100.0000%
