X,Y,Decoded address
48.82462,25.51009,"Товстенська селищна громада, Rejon czortkowski, Obwód tarnopolski, Ukraina"
53.0243,20.10353,"Żuromińska, Szreńsk, gmina Szreńsk, powiat mławski, województwo mazowieckie, 06-550, Polska"
50.59506,16.19707,"32, Bohdašín, Cieplice nad Metują, okres Náchod, Kraj hradecki, Północno-wschodni, 549 57, Czechy"
47.96867,20.99986,"3607, Kiscsécs, Tiszaújvárosi járás, Borsod-Abaúj-Zemplén vármegye, Północne Węgry, Alföld és Észak, 3578, Węgry"
53.61024,20.27903,"Jagiełek, Wilkowo, gmina Olsztynek, powiat olsztyński, województwo warmińsko-mazurskie, Polska"
50.8194,21.40521,"68, Świętokrzyska, Prochownia, Opatów, gmina Opatów, powiat opatowski, województwo świętokrzyskie, 27-500, Polska"
46.58696,13.83656,"Auenweg, Auen, Villach, Karyntia, 9504, Austria"
53.7193,15.5474,"Przemysław, gmina Resko, powiat łobeski, województwo zachodniopomorskie, 73-153, Polska"
53.75941,12.26173,"Meklemburgia-Pomorze Przednie, 18273, Niemcy"
51.24077,20.94053,"105A, Marii Konopnickiej, Jastrząb, gmina Jastrząb, powiat szydłowiecki, województwo mazowieckie, 26-502, Polska"
46.55771,23.79227,"65, Strada Fabricii, Zona Industrială, Turda, Cluj, 401135, Rumunia"
53.50083,24.29014,"Н20272, Czerlona, Дубненскі сельскі Савет, rejon mostowski, Obwód grodzieński, 231704, Białoruś"
50.47566,16.76531,"Laskówka, gmina Bardo, powiat ząbkowicki, województwo dolnośląskie, 57-255, Polska"
48.16127,15.03095,"3, Pflanzbeet, St. Martin am Ybbsfelde, Sankt Martin-Karlsbach, Bezirk Melk, Dolna Austria, 3376, Austria"
46.00773,14.13326,"2, Rovte, Hleviše, Žiri, Upravna Enota Logatec, 4226, Słowenia"
53.15937,10.13649,"Wasserkamp, Rolfsen, Soderstorf, Samtgemeinde Amelinghausen, Lüneburg, Dolna Saksonia, 21388, Niemcy"
53.11044,17.46911,"Łodzia, gmina Sadki, powiat nakielski, województwo kujawsko-pomorskie, 89-110, Polska"
49.19775,23.86936,"Falisz, Моршинська міська громада, Rejon stryjski, Obwód lwowski, 82464, Ukraina"
47.27162,10.50229,"Tyrol, 6650, Austria"
49.17109,11.28905,"19, Meckenhausen A, Meckenhausen, Hilpoltstein, Landkreis Roth, Bawaria, 91161, Niemcy"
46.75314,15.49988,"14, Obere Fahrenbachstraße, Unterfahrenbach, Heimschuh, Bezirk Leibnitz, Styria, 8451, Austria"
46.25483,10.66632,"Gras di Presanella, Vermiglio, Comunità della Valle di Sole, Provincia di Trento, Trydent-Górna Adyga, Włochy"
46.12434,24.40768,"Brateiu, Sibiu, Rumunia"
48.02949,15.53304,"Güterweg Wehrabach, Am Loam, Wehrabach, Gemeinde Eschenau, Bezirk Lilienfeld, Dolna Austria, 3153, Austria"
49.72076,16.53478,"Moravská Kamenná Horka, Kamenná Horka, okres Svitavy, Kraj pardubicki, Północno-wschodni, Czechy"
49.04555,19.27608,"Mederlyho cesta, Vlkolínec, Rużomberk, Powiat Rużomberk, Kraj żyliński, Środkowa Słowacja, 034 03, Słowacja"
47.517,22.20907,"Curtuișeni, Bihor, Rumunia"
49.01152,18.83386,"Valča, Powiat Martin, Kraj żyliński, Środkowa Słowacja, 038 35, Słowacja"
47.1481,19.65321,"3. dűlő, Mikebuda, Ceglédi járás, Pest vármegye, Środkowe Węgry, 2736, Węgry"
46.7095,21.6978,"735, Ghiorac, Ciumeghiu, Bihor, 417197, Rumunia"
50.18413,23.77849,"М-09, Літепли, Kipki, Добросинсько-Магерівська сільська громада, Rejon lwowski, Obwód lwowski, 80335, Ukraina"
47.811,24.82331,"Vișeu de Sus, Maramureș, Rumunia"
52.81819,24.81913,"Р85, Ружанскі сельскі Савет, rejon prużański, Obwód brzeski, 225182, Białoruś"
48.97669,12.01923,"Möseleiche, St 2394, Bruckdorf, Sinzing, Landkreis Regensburg, Bawaria, 93161, Niemcy"
49.12396,24.57885,"Капличка, О090307, Kołodziejów, Галицька міська громада, Rejon iwano-frankiwski, Obwód iwanofrankiwski, 77153, Ukraina"
46.21115,20.04422,"Röszke, Szegedi járás, Csongrád-Csanád vármegye, Południowa Wielka Nizina, Alföld és Észak, 6758, Węgry"
49.81208,17.99874,"465, Těškovice, Powiat Opawa, Kraj morawsko-śląski, 742 94, Czechy"
49.48623,11.91185,"Bawaria, 92272, Niemcy"
50.97606,14.27299,"Nationalpark-Bahnhof, 17, Bahnhofstraße, Sebnitz, Sächsische Schweiz-Osterzgebirge, Saksonia, 01855, Niemcy"
50.03433,23.61935,"Івано-Франківська селищна громада, Rejon jaworowski, Obwód lwowski, Ukraina"
47.8984,11.92547,"RO 8, Orthofen, Kirchdorf am Haunpold, Bruckmühl, Landkreis Rosenheim, Bawaria, 83052, Niemcy"
47.80513,22.72281,"Oar, Vetiș, Satu Mare, 447357, Rumunia"
49.59798,22.95613,"Towarnia, Добромильська міська громада, Rejon samborski, Obwód lwowski, 82024, Ukraina"
49.44925,19.56884,"2276, Bobrov, okres Námestovo, Kraj żyliński, Środkowa Słowacja, 029 42, Słowacja"
